description_barang,description,amount,recency_days,frequency,score_price,score_recency,score_freq,final_score
ACCU FB PREMIUM 35A,PT. EMPATI SUKSES BERKARYA,641000,24,1,1.56E-06,0.04,0.111111111,0.034223002
ACCU GS N70,JAYA ABADI MOTOR,1190000,102,1,8.40E-07,0.009708738,0.111111111,0.025135264
ACCU INCOE N70,JAYA ABADI MOTOR,1015000,141,2,9.85E-07,0.007042254,0.222222222,0.046557613
ACCU YUASA MF NS402L 35A,JAYA ABADI MOTOR,670000,63,1,1.49E-06,0.015625,0.111111111,0.026910468
ACCU ZUUR YUASA,METRO MOTOR,80000,50,1,1.25E-05,0.019607843,0.111111111,0.028110825
AIR ACCU,PT. EMPATI SUKSES BERKARYA,78000,172,1,1.28E-05,0.005780347,0.111111111,0.023962737
AIR ACCU YUASA,PT. EMPATI SUKSES BERKARYA,108000,172,1,9.26E-06,0.005780347,0.111111111,0.023960956
ANTING PER FUTURA,METRO MOTOR,75000,126,1,1.33E-05,0.007874016,0.111111111,0.024591094
ANTING PER FUTURA,PT. EMPATI SUKSES BERKARYA,150000,126,1,6.67E-06,0.007874016,0.111111111,0.02458776
ANTING PER GRANDMAX,JAYA ABADI MOTOR,170000,134,1,5.88E-06,0.007407407,0.111111111,0.024447386
ANTING PER GRANDMAX,PT. EMPATI SUKSES BERKARYA,150000,131,1,6.67E-06,0.007575758,0.111111111,0.024498283
ANTING PER RUBAHAN L300,JAYA ABADI MOTOR,320000,8,1,3.13E-06,0.111111111,0.111111111,0.055557118
AS RODA BLKG L300,PT. EMPATI SUKSES BERKARYA,935000,66,1,1.07E-06,0.014925373,0.111111111,0.026700369
AS RODA FUTURA,PT. EMPATI SUKSES BERKARYA,1300000,24,1,7.69E-07,0.04,0.111111111,0.034222607
B/M ASSY AGYA,JAYA ABADI MOTOR,520000,59,1,1.92E-06,0.016666667,0.111111111,0.027223184
B/M ASSY ALTIS,PT. EMPATI SUKSES BERKARYA,625000,40,1,1.60E-06,0.024390244,0.111111111,0.029540095
B/M ASSY AVANZA,JAYA ABADI MOTOR,435000,19,1,2.30E-06,0.05,0.111111111,0.037223372
B/M ASSY JAZZ,PT. EMPATI SUKSES BERKARYA,600000,21,1,1.67E-06,0.045454545,0.111111111,0.035859419
B/M ASSY TRAGA,PT. EMPATI SUKSES BERKARYA,565000,54,1,1.77E-06,0.018181818,0.111111111,0.027677653
B/P LINER L300,SAM ENGINE WORK,700000,52,2,1.43E-06,0.018867925,0.222222222,0.050105536
BALL JOINT ATAS INNOVA/HILUX,PT. EMPATI SUKSES BERKARYA,352000,175,1,2.84E-06,0.005681818,0.111111111,0.023928188
BALL JOINT ATAS L300,JAYA RAYA MOBIL,340000,138,1,2.94E-06,0.007194245,0.111111111,0.024381966
BALL JOINT ATAS L300,PT. EMPATI SUKSES BERKARYA,580000,189,1,1.72E-06,0.005263158,0.111111111,0.023802032
BALL JOINT AVANZA/XENIA,JAYA ABADI MOTOR,85000,19,2,1.18E-05,0.05,0.222222222,0.059450327
BALL JOINT AVANZA/XENIA,PT. EMPATI SUKSES BERKARYA,330000,189,1,3.03E-06,0.005263158,0.111111111,0.023802685
BALL JOINT BAWAH L300,PT. EMPATI SUKSES BERKARYA,780000,189,1,1.28E-06,0.005263158,0.111111111,0.023801811
BALL JOINT GRANDMAX,PT. EMPATI SUKSES BERKARYA,180000,131,3,5.56E-06,0.007575758,0.333333333,0.068942172
BALL JOINT MOBILIO,PT. EMPATI SUKSES BERKARYA,125000,176,1,8.00E-06,0.005649718,0.111111111,0.023921137
BALL JOINT XPANDER,PT. EMPATI SUKSES BERKARYA,150000,170,1,6.67E-06,0.005847953,0.111111111,0.023979942
BAN LUAR 185/80 R14 ECOTEC,SURYA JAYA BAN,1310000,19,1,7.63E-07,0.05,0.111111111,0.037222604
BAN LUAR RADIAL 185 R14 MAXMILER PRO,SURYA JAYA BAN,3260000,19,2,3.07E-07,0.05,0.222222222,0.059444598
BAN LUAR RADIAL 195 R14 MAXMILER PRO,SURYA JAYA BAN,1870000,19,2,5.35E-07,0.05,0.222222222,0.059444712
BAUT 10,MITRA BAUT,10000,85,1,0.0001,0.011627907,0.111111111,0.025760594
"BAUT BMH 14X1,5X30",UD SINAR BAUT,11000,159,1,9.09E-05,0.00625,0.111111111,0.024142677
BAUT HEAD XENIA 1.0,PT. EMPATI SUKSES BERKARYA,40000,151,1,2.50E-05,0.006578947,0.111111111,0.024208406
BAUT LOWER ARM L300,76 MOTOR,30000,171,1,3.33E-05,0.005813953,0.111111111,0.023983075
BAUT MUR BAJA 10X35,MITRA BAUT,10000,50,1,0.0001,0.019607843,0.111111111,0.028154575
BAUT MUR BAJA 10X35,UD SINAR BAUT,48000,46,1,2.08E-05,0.021276596,0.111111111,0.028615618
BAUT RODA JAZZ,76 MOTOR,20000,61,1,5.00E-05,0.016129032,0.111111111,0.027085932
BAUT RODA L300,JAYA ABADI MOTOR,160000,122,1,6.25E-06,0.008130081,0.111111111,0.024664372
BAUT RODA MOBILIO,76 MOTOR,30000,61,1,3.33E-05,0.016129032,0.111111111,0.027077599
BAUT RODA PS125,76 MOTOR,80000,86,1,1.25E-05,0.011494253,0.111111111,0.025676748
